userid,pagetype,member_tier,log_in_status,page_duration,start_time
85,Category,NULL,N,90,11/1/2019 11:06
85,Product,NULL,N,106.6666667,11/1/2019 11:06
2b,Product,NULL,N,60,11/1/2019 11:07
df,Category,NULL,N,60,11/1/2019 11:10
36,Product,Base,Y,170,11/1/2019 11:11
85,Other,NULL,N,60,11/1/2019 11:11
6,Category,NULL,N,60,11/1/2019 11:13
85,Other,Base,Y,90,11/1/2019 11:13
65,Product,NULL,N,120,11/1/2019 11:14
65,Other,NULL,N,30,11/1/2019 11:14
66,Other,NULL,N,180,11/1/2019 11:14
66,Product,NULL,N,74,11/1/2019 11:15
66,Product,NULL,N,60,11/1/2019 11:15
2e,Product,NULL,N,60,11/1/2019 11:17
85,Other,NULL,N,120,11/1/2019 11:17
2e,Other,NULL,N,60,11/1/2019 11:18
2e,Product,NULL,N,60,11/1/2019 11:18
2e,Homepage,NULL,N,60,11/1/2019 11:18
2e,Cart,NULL,N,484,11/1/2019 11:18
66,Product,NULL,N,170,11/1/2019 11:19
20,Homepage,NULL,N,30,11/1/2019 11:20
20,Homepage,NULL,N,90,11/1/2019 11:20
2e,Product,NULL,N,60,11/1/2019 11:21
b9,Other,NULL,N,60,11/1/2019 11:21
d3,Other,NULL,N,60,11/1/2019 11:21
d3,Other,NULL,N,70,11/1/2019 11:21
6d,Product,NULL,N,60,11/1/2019 11:22
6d,Product,NULL,N,54,11/1/2019 11:22
6d,Other,NULL,N,60,11/1/2019 11:22
6d,Other,NULL,N,60,11/1/2019 11:22
6d,Other,NULL,N,30,11/1/2019 11:22
1e,Product,NULL,N,60,11/1/2019 11:24
6d,Product,NULL,N,60,11/1/2019 11:24
cc,Category,NULL,N,351.4285714,11/1/2019 11:24
6d,Other,NULL,N,630,11/1/2019 11:25
6d,Product,NULL,N,162,11/1/2019 11:25
6d,Product,NULL,N,30,11/1/2019 11:25
6d,Product,NULL,N,60,11/1/2019 11:25
6d,Product,NULL,N,60,11/1/2019 11:26
bc,SearchResult,NULL,N,450,11/1/2019 11:27
66,Other,NULL,N,30,11/1/2019 11:28
66,Category,NULL,N,1490,11/1/2019 11:28
